translation,book,chapter,verse,file_id,file_name
yousafzai,Zechariah,14,10,1jpUgP9MOrbXZKWdfR6-n3NR3HwOvna-W,"yousafzai_zechariah014_verse_010.mp3"
yousafzai,Zechariah,4,7,1IsrG7qcX6JP6oHxX_-uPB0ak_2ucGIpr,"yousafzai_zechariah004_verse_007.mp3"
yousafzai,Zechariah,14,15,1HtcZxyQpkQxvmJ73mfD6XWOPVTjFUWGB,"yousafzai_zechariah014_verse_015.mp3"
yousafzai,Zechariah,14,14,1ATL7mXJi26XhOesAlMwRbAryqp2RHGcQ,"yousafzai_zechariah014_verse_014.mp3"
yousafzai,Zechariah,4,11,1GODNLWS-QMr9EEpthItmB51Y6EBMP5pO,"yousafzai_zechariah004_verse_011.mp3"
yousafzai,Zechariah,14,4,1rnVhfH7XCgJlqeGA01BEWi6aC5qGj1r2,"yousafzai_zechariah014_verse_004.mp3"
yousafzai,Zechariah,4,5,1_BVU024OCC2hb3i7BBffNxWeDcPaI73R,"yousafzai_zechariah004_verse_005.mp3"
yousafzai,Zechariah,4,4,18IUg4J16Ht95E7y8Oht2GfRporRbKZbp,"yousafzai_zechariah004_verse_004.mp3"
yousafzai,Zechariah,4,10,1sq5arf84TijDLn73U4EvT3bzSwuJzsdI,"yousafzai_zechariah004_verse_010.mp3"
yousafzai,Zechariah,4,14,1GlsXohJogxd_jZqafTTakXUtr51S5AfE,"yousafzai_zechariah004_verse_014.mp3"
yousafzai,Zechariah,14,7,1sGHQ4cD_shnwoo05RNkaLn9VEGwhaxOf,"yousafzai_zechariah014_verse_007.mp3"
yousafzai,Zechariah,14,11,1pDdhkPK87qjGiEDi311vnlRXCA_tJwmQ,"yousafzai_zechariah014_verse_011.mp3"
yousafzai,Zechariah,14,5,1ERee-oZL9B8k6bEbRA8QsTCM1u-Jun0S,"yousafzai_zechariah014_verse_005.mp3"
yousafzai,Zechariah,4,3,1334ca33iIiSmZLTXvJUujHYJrbemR9ZW,"yousafzai_zechariah004_verse_003.mp3"
